"H0022200","R0000100","R0007900","R0173600","R0214700","R0214800","R1774200","T4892700","T5176100","T5595900","T5596000","T5596200","T5596700","T5599700","T5599800","T5599900","T5600000","T5619500","T5621700","T5731800","T5732000","T5772700","T5772900","T5774300"
2,137,16,5,3,2,2,150,-4,5,6,2,2,1,1,3,1,199000,-4,0,0,2340,0,12
2,138,16,5,3,2,4,125,-4,5,3,1,1,3,3,3,0,19500,-4,0,0,1300,0,17
-4,139,16,1,3,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,140,12,5,3,2,4,180,-4,5,10,4,4,1,2,2,0,80000,-4,0,0,-3,0,6
3,141,16,5,3,2,7,145,-4,5,4,2,2,1,1,1,0,71000,-4,1,0,2481,0,21
5,142,10,1,3,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,143,10,5,3,2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4,144,10,5,3,2,7,180,-4,5,4,2,1,1,3,5,1,24000,-4,0,0,1956,0,6
3,145,12,1,3,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-2,146,12,1,3,1,4,192,-4,5,8,2,1,4,4,4,3,110000,-4,0,0,2080,0,13
3,147,12,5,3,2,4,130,-4,5,2,2,2,4,2,2,0,15600,-4,0,0,780,0,6
4,148,12,1,3,1,7,225,-4,5,10,1,2,1,2,3,1,48000,-4,0,0,2530,0,8
3,149,12,5,3,2,1,210,-4,5,6,2,1,1,1,1,0,144000,-4,0,0,2080,0,9
4,150,14,1,3,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,151,12,5,3,2,9,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,152,12,5,3,2,4,144,-4,5,4,2,2,4,2,2,0,48594,-4,0,0,1440,2,9
4,153,13,5,3,2,6,150,-4,5,1,5,2,4,5,5,0,0,-4,0,1,0,0,14
-4,154,12,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4,155,12,1,3,1,7,-5,-4,5,10,5,2,1,5,5,0,0,-4,0,0,240,0,29
1,156,17,1,3,1,4,195,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
